央视,#genre#
CCTV5+,http://192.168.31.254:5140/rtp/233.18.204.67:5140
CCTV4k,http://192.168.31.254:5140/rtp/233.18.204.188:5140
CCTV4k,http://192.168.31.254:5140/rtp/239.45.0.55:5140
CCTV4k,http://192.168.31.254:5140/rtp/239.45.1.21:5140
CCTV1,http://192.168.31.254:5140/rtp/233.18.204.52:5140
CCTV2,http://192.168.31.254:5140/rtp/233.18.204.68:5140
CCTV3,http://192.168.31.254:5140/rtp/233.18.204.69:5140
CCTV4,http://192.168.31.254:5140/rtp/233.18.204.70:5140
CCTV5,http://192.168.31.254:5140/rtp/233.18.204.71:5140
CCTV6,http://192.168.31.254:5140/rtp/233.18.204.72:5140
CCTV7,http://192.168.31.254:5140/rtp/233.18.204.73:5140
CCTV8,http://192.168.31.254:5140/rtp/233.18.204.74:5140
CCTV9,http://192.168.31.254:5140/rtp/233.18.204.75:5140
CCTV10,http://192.168.31.254:5140/rtp/233.18.204.76:5140
CCTV11,http://192.168.31.254:5140/rtp/233.18.204.77:5140
CCTV12,http://192.168.31.254:5140/rtp/233.18.204.78:5140
CCTV13,http://192.168.31.254:5140/rtp/233.18.204.79:5140
CCTV14,http://192.168.31.254:5140/rtp/233.18.204.80:5140
CCTV15,http://192.168.31.254:5140/rtp/233.18.204.81:5140
CCTV16,http://192.168.31.254:5140/rtp/233.18.204.82:5140
CCTV17,http://192.168.31.254:5140/rtp/233.18.204.83:5140
CHC,#genre#
CHC家庭影院,http://192.168.31.254:5140/rtp/233.18.204.173:5140
CHC动作电影,http://192.168.31.254:5140/rtp/233.18.204.174:5140
CHC影迷电影,http://192.168.31.254:5140/rtp/233.18.204.175:5140
上海,#genre#
新闻综合 HD,http://192.168.31.254:5140/rtp/233.18.204.57:5140
东方卫视 HD,http://192.168.31.254:5140/rtp/233.18.204.51:5140
都市频道 HD,http://192.168.31.254:5140/rtp/233.18.204.53:5140
哈哈炫动 HD,http://192.168.31.254:5140/rtp/233.18.204.54:5140
东方影视 HD,http://192.168.31.254:5140/rtp/233.18.204.55:5140
五星体育 HD,http://192.168.31.254:5140/rtp/233.18.204.58:5140
第一财经 HD,http://192.168.31.254:5140/rtp/233.18.204.59:5140
东方购物 - 1HD,http://192.168.31.254:5140/rtp/233.18.204.61:5140
东方购物 - 2HD,http://192.168.31.254:5140/rtp/233.18.204.62:5140
上海教育 HD,http://192.168.31.254:5140/rtp/233.18.204.63:5140
东方财经 HD,http://192.168.31.254:5140/rtp/233.18.204.65:5140
都市剧场 HD,http://192.168.31.254:5140/rtp/233.18.204.48:5140
法治天地 HD,http://192.168.31.254:5140/rtp/233.18.204.49:5140
欢笑剧场 HD,http://192.168.31.254:5140/rtp/233.18.204.50:5140
金色学堂 HD,http://192.168.31.254:5140/rtp/233.18.204.66:5140
乐游 HD,http://192.168.31.254:5140/rtp/233.18.204.47:5140
卫视,#genre#
浙江卫视 HD,http://192.168.31.254:5140/rtp/233.18.204.84:5140
江苏卫视 HD,http://192.168.31.254:5140/rtp/233.18.204.85:5140
湖南卫视 HD,http://192.168.31.254:5140/rtp/233.18.204.86:5140
北京卫视 HD,http://192.168.31.254:5140/rtp/233.18.204.87:5140
北京卫视 4K,http://192.168.31.254:5140/rtp/239.45.3.123:5140
广东卫视 HD,http://192.168.31.254:5140/rtp/233.18.204.88:5140
深圳卫视 HD,http://192.168.31.254:5140/rtp/233.18.204.89:5140
黑龙江卫视 HD,http://192.168.31.254:5140/rtp/233.18.204.90:5140
山东卫视 HD,http://192.168.31.254:5140/rtp/233.18.204.91:5140
湖北卫视 HD,http://192.168.31.254:5140/rtp/233.18.204.92:5140
安徽卫视 HD,http://192.168.31.254:5140/rtp/233.18.204.93:5140
东南卫视 HD,http://192.168.31.254:5140/rtp/233.18.204.94:5140
江西卫视 HD,http://192.168.31.254:5140/rtp/233.18.204.95:5140
辽宁卫视 HD,http://192.168.31.254:5140/rtp/233.18.204.96:5140
天津卫视 HD,http://192.168.31.254:5140/rtp/233.18.204.97:5140
中国教育 - 1HD,http://192.168.31.254:5140/rtp/233.18.204.98:5140
四川卫视 HD,http://192.168.31.254:5140/rtp/233.18.204.99:5140
重庆卫视,http://192.168.31.254:5140/rtp/233.18.204.100:5140
重庆卫视,http://192.168.31.254:5140/rtp/233.18.204.143:5140
贵州卫视,http://192.168.31.254:5140/rtp/233.18.204.101:5140
贵州卫视,http://192.168.31.254:5140/rtp/233.18.204.144:5140
海南卫视,http://192.168.31.254:5140/rtp/233.18.204.102:5140
海南卫视,http://192.168.31.254:5140/rtp/233.18.204.122:5140
河北卫视,http://192.168.31.254:5140/rtp/233.18.204.103:5140
河北卫视,http://192.168.31.254:5140/rtp/233.18.204.140:5140
金鹰纪实,http://192.168.31.254:5140/rtp/233.18.204.104:5140
三沙卫视,http://192.168.31.254:5140/rtp/233.18.204.172:5140
三沙卫视,http://192.168.31.254:5140/rtp/233.18.204.149:5140
河南卫视,http://192.168.31.254:5140/rtp/233.18.204.105:5140
河南卫视,http://192.168.31.254:5140/rtp/233.18.204.145:5140
云南卫视,http://192.168.31.254:5140/rtp/233.18.204.106:5140
云南卫视,http://192.168.31.254:5140/rtp/233.18.204.136:5140
广西卫视,http://192.168.31.254:5140/rtp/233.18.204.107:5140
广西卫视,http://192.168.31.254:5140/rtp/233.18.204.123:5140
吉林卫视,http://192.168.31.254:5140/rtp/233.18.204.108:5140
吉林卫视,http://192.168.31.254:5140/rtp/233.18.204.131:5140
甘肃卫视,http://192.168.31.254:5140/rtp/233.18.204.110:5140
甘肃卫视,http://192.168.31.254:5140/rtp/233.18.204.137:5140
CETV4,http://192.168.31.254:5140/rtp/233.18.204.111:5140
青海卫视,http://192.168.31.254:5140/rtp/233.18.204.112:5140
青海卫视,http://192.168.31.254:5140/rtp/233.18.204.133:5140
金鹰卡通 HD,http://192.168.31.254:5140/rtp/233.18.204.113:5140
山西卫视,http://192.168.31.254:5140/rtp/233.18.204.211:5140
山西卫视,http://192.168.31.254:5140/rtp/233.18.204.132:5140
内蒙古卫视,http://192.168.31.254:5140/rtp/233.18.204.217:5140
内蒙古卫视,http://192.168.31.254:5140/rtp/233.18.204.141:5140
新疆卫视,http://192.168.31.254:5140/rtp/233.18.204.220:5140
新疆卫视,http://192.168.31.254:5140/rtp/233.18.204.147:5140
兵团卫视,http://192.168.31.254:5140/rtp/233.18.204.221:5140
兵团卫视,http://192.168.31.254:5140/rtp/233.18.204.148:5140
西藏卫视,http://192.168.31.254:5140/rtp/233.18.204.222:5140
西藏卫视,http://192.168.31.254:5140/rtp/233.18.204.134:5140
陕西卫视,http://192.168.31.254:5140/rtp/233.18.204.223:5140
陕西卫视,http://192.168.31.254:5140/rtp/233.18.204.135:5140
宁夏卫视,http://192.168.31.254:5140/rtp/233.18.204.117:5140
宁夏,http://192.168.31.254:5140/rtp/239.45.1.213:5140
康巴卫视,http://192.168.31.254:5140/rtp/239.45.1.251:5140
延边卫视,http://192.168.31.254:5140/rtp/233.18.204.155:5140
CETV1,http://192.168.31.254:5140/rtp/233.18.204.153:5140
CETV1,http://192.168.31.254:5140/rtp/239.45.1.125:5140
CETV2,http://192.168.31.254:5140/rtp/239.45.1.52:5140
CETV4,http://192.168.31.254:5140/rtp/239.45.0.21:5140
CETV4,http://192.168.31.254:5140/rtp/239.45.1.243:5140
CGTN,http://192.168.31.254:5140/rtp/239.45.1.194:5140
中国教育-2,http://192.168.31.254:5140/rtp/233.18.204.154:5140
先锋乒羽,http://192.168.31.254:5140/rtp/239.45.3.43:5140
休闲,#genre#
风云足球 HD,http://192.168.31.254:5140/rtp/233.18.204.176:5140
央视台球 HD,http://192.168.31.254:5140/rtp/233.18.204.177:5140
兵器科技 HD,http://192.168.31.254:5140/rtp/233.18.204.178:5140
世界地理 HD,http://192.168.31.254:5140/rtp/233.18.204.179:5140
快乐垂钓 HD,http://192.168.31.254:5140/rtp/233.18.204.42:5140
茶频道 HD,http://192.168.31.254:5140/rtp/233.18.204.43:5140
女性时尚 HD,http://192.168.31.254:5140/rtp/233.18.204.180:5140
高尔夫网球 HD,http://192.168.31.254:5140/rtp/233.18.204.181:5140
怀旧剧场 HD,http://192.168.31.254:5140/rtp/233.18.204.182:5140
风云剧场 HD,http://192.168.31.254:5140/rtp/233.18.204.183:5140
第一剧场 HD,http://192.168.31.254:5140/rtp/233.18.204.184:5140
风云音乐 HD,http://192.168.31.254:5140/rtp/233.18.204.185:5140
央视文化精品 HD,http://192.168.31.254:5140/rtp/233.18.204.186:5140
早期教育 HD,http://192.168.31.254:5140/rtp/233.18.204.187:5140
游戏风云 HD,http://192.168.31.254:5140/rtp/233.18.204.44:5140
生活时尚 HD,http://192.168.31.254:5140/rtp/233.18.204.45:5140
中国天气,http://192.168.31.254:5140/rtp/239.45.3.141:5140
先锋乒羽,http://192.168.31.254:5140/rtp/239.45.3.43:5140
少儿,#genre#
金鹰卡通,http://192.168.31.254:5140/rtp/233.18.204.150:5140
金鹰卡通,http://192.168.31.254:5140/rtp/239.45.0.38:5140
金鹰卡通,http://192.168.31.254:5140/rtp/239.45.3.233:5140
金鹰卡通,http://192.168.31.254:5140/rtp/239.45.3.119:5140
嘉佳卡通,http://192.168.31.254:5140/rtp/233.18.204.151:5140
嘉佳卡通,http://192.168.31.254:5140/rtp/239.45.1.48:5140
BRTVkaku少儿,http://192.168.31.254:5140/rtp/233.18.204.152:5140
卡酷少儿 HD,http://192.168.31.254:5140/rtp/233.18.204.109:5140
哈哈炫动,http://192.168.31.254:5140/rtp/239.45.1.55:5140
哈哈炫动,http://192.168.31.254:5140/rtp/239.45.3.187:5140
动漫秀场 HD,http://192.168.31.254:5140/rtp/233.18.204.46:5140
动漫秀场,http://192.168.31.254:5140/rtp/239.45.3.134:5140
